Last name,First name,Middle name,Role,School,Grade
Herman,Preston,Elliott,Teacher,Southside,
Randolph,Finnegan,Braylon,Student,Eastside,12
Hood,Easton,Fernando,Student,Southside,7
Kemp,Logan,Kinsley,Teacher,Southside,
Goodman,Isla,Josephine,Teacher,Westside,
Benton,Aaron,Keegan,Teacher,Southside,
Mcdowell,Brody,Jack,Teacher,Northside,
Rosales,Selah,Raelynn,Student,Westside,11
Merritt,Zachary,Johan,Student,Eastside,5
Pearson,Vivian,Evelyn,Teacher,Westside,
Stanton,Eden,Mallory,Student,Northside,6
Farley,Nyla,Raegan,Teacher,Southside,
Wilson,María Paula,Carmen,Teacher,Eastside,
Gutierrez,Erik,Landen,Teacher,Southside,
Hernández,Adrianna,Brynn,Teacher,Eastside,
Salas,Kellan,Nico,Teacher,Westside,
Zimmerman,Braxton,Luca,Teacher,Northside,
Wong,Genesis,Trinity,Teacher,Southside,
Hart,Dominick,Sean,Student,Eastside,5
Adams,Brantley,Conor,Student,Northside,K
Lindsey,Danielle,Kimberly,Teacher,Southside,
Elliott,Summer,Victoria,Teacher,Northside,
Beard,Aria,Jimena,Student,Westside,2
Todd,Emerson,Selena,Teacher,Southside,
Schwartz,Jaxon,Theo,Student,Eastside,7
Trevino,Emerson,Cora,Student,Southside,9
Butler,Nayeli,Aria,Teacher,Westside,
Knox,Noelle,Evelyn,Student,Westside,5
Estes,Liam,Ryder,Teacher,Southside,
Gonzalez,Adrián,Dominick,Student,Westside,7
Cardenas,Priscilla,Annabella,Student,Southside,9
Preston,Theodore,Lorenzo,Teacher,Northside,
Olsen,Davis,Brendan,Teacher,Westside,
Mcfadden,Addilyn,Liliana,Teacher,Southside,
Cain,Hayes,Ricardo,Teacher,Eastside,
Gillespie,Rosemary,Génesis,Student,Westside,3
Howard,Abel,Taylor,Teacher,Southside,
Kane,Katie,Lily,Teacher,Northside,
Carlson,Dominick,Maximilian,Teacher,Northside,
Obrien,Joshua,Harrison,Student,Southside,1
Gay,Johnny,Thomas,Student,Westside,5
Key,Atticus,Fabian,Teacher,Southside,
Fletcher,Mckenzie,Lola,Teacher,Westside,
Cortez,Kasen,Avery,Student,Eastside,8
Mays,Tucker,Levi,Student,Eastside,2
Lamb,Camilla,Nayeli,Student,Northside,4
González,Davis,Kendrick,Student,Westside,10
Hunt,Layla,Layla,Teacher,Westside,
Meyer,Emilia,Reagan,Student,Southside,K
Marks,Frances,Tessa,Teacher,Westside,
Mcclain,Ellie,Maeve,Teacher,Westside,
Nguyen,April,Daniella,Teacher,Eastside,
Brady,Alaina,Lyric,Teacher,Westside,
Nash,Daniela,Gia,Student,Southside,11
Cervantes,Daniel,Garrett,Student,Westside,6
Osborne,Heaven,Maria,Teacher,Southside,
Powell,Amari,Oscar,Teacher,Southside,
Nelson,Evelyn,Alexia,Teacher,Northside,
